Kode	Uraian	Satuan	 Harga 
M.284	Topi Pelindung (Safety Helmet)	Buah	 Rp95,600 
M.285	Pelindung Mata (Goggles,Spectacles)	Buah	 Rp38,300 
M.286	Pelindung Telinga (Ear Plug, Ear Muff)	Buah	 Rp57,400 
M.287	Pelindung Pernafasan dan Mulut (Masker, Masker Respirator)	Buah	 Rp146,600 
M.288	Sepatu Keselamatan (Safety Shoes, Rubber Safety Shoes and Toe Cap)	Buah	 Rp191,300 
M.289	Penunjang seluruh tubuh (Full Body Harness)	Set	 Rp1,275,300 
M.290	Rompi keselamatan (Safety Vest)	Buah	 Rp38,300 
M.291	Kotak P3K	Set	 Rp637,700 
	 HARGA BAHAN LAIN-LAIN		 Rp- 
M.292	Sabun	Kg	 Rp42,100 
M.293	Tali Ijuk	m1	 Rp34,400 
M.294	Tali Ijuk	m3	 Rp344,400 
M.295	Beton Ready Mixed	m3	 Rp1,594,200 
M.296	Beton Ready Mixed f'c 10 Mpa	m3	 Rp1,638,800 
M.297	Beton Ready Mixed f'c 25 Mpa	m3	 Rp1,728,100 
M.298	Beton Ready Mixed f'c 35 Mpa	m3	 Rp1,804,500 
M.299	Kolom Beton Pracetak	Btg	 Rp510,100 
M.300	Panel Beton Pracetak	Lbr	 Rp293,300 
M.301	Bentonite	m3	 Rp446,400 
M.302	Bentonite	Kg	 Rp8,900 
M.303	Cairan Perontok Karat	Kg	 Rp39,600 
M.304	Cuka Bibit	Ltr	 Rp47,200 
M.305	Fly Ash	Kg	 Rp3,200 
M.306	Lolos Screen 2 Uk. (9.5-19.0)	m3	 Rp828,900 
M.307	Lolos Screen 2 Uk. (0-5)	m3	 Rp828,900 
M.308	Bilik Bambu	m2	 Rp332,900 
M.309	Epoxy Resin Grout	Kg	 Rp88,000 
M.310	Geomembran t=1.5mm	m2	 Rp33,200 
M.311	Geosynthetic Clay Liner (GCL)	m2	 Rp956,500 
M.312	Geotekstil (> 100 s/d 400 gr/m2)	m2	 Rp44,600 
M.313	Geotekstil (> 400 s/d 800 gr/m2)	m2	 Rp70,200 
M.314	Geotekstil (> 800 gr/m2)	m2	 Rp95,600 
M.315	Phenol Film 12mm	Lbr	 Rp574,300 
M.316	Strorox - 100	Kg	 Rp83,300 
M.317	Terpal	m2	 Rp312,500 
M.318	Karung Goni	m2	 Rp34,200 
M.319	Kapur Padam	m3	 Rp2,100 
M.320	Kapur Padam	Kg	 Rp103,300 
M.321	Tanah Liat	m3	 Rp144,200 
M.322	Kapur	m3	 Rp45,900 
M.323	Waterstop Lebar 150mm	m1	 Rp289,000 
M.324	Waterstop Lebar 200mm	m1	 Rp331,600 
M.325	Waterstop Lebar 230 - 320mm	m1	 Rp348,600 
M.326	Wax	Kg	 Rp99,500 
M.327	Joint Sealant	Kg	 Rp117,900 
M.328	Curing Compound	Ltr	 Rp47,200 
M.329	Polytene 125 Mikron	Kg	 Rp70,200 
M.330	Zat Aditif	Kg	 Rp85,400 
M.331	Strapping Band Lebar 15mm	m1	 Rp5,700 
M.332	Palet Kayu Uk. 120x120x10cm	Buah	 Rp10,900 
	BATU KALI Bulat Utuh	m3	 Rp305,000 
	Batu Belah	m3	 Rp288,400 
	BATU KALI Pecah 10/15	m3	 Rp385,500 
	Koral	m3	 Rp302,800 
	Kerikil	m3	 Rp431,500 
	Bata merah	buah	 Rp800 
	PASIR Pasang	Kg	 Rp300 
	PASIR Beton	Kg	 Rp300 
	KAPUR Pasang	m3	 Rp280,800 
	Semen Merah	m3	 Rp1,088,600 
	Semen Portland	kg	 Rp1,500 
	Semen warna	kg	 Rp1,500 
	SIRAP	buah	 Rp2,400 
	Genteng Beton Warna standard	buah	 Rp6,700 
	GENTENG TANAH LIAT Vlaam/Plentong	buah	 Rp11,800 
	GENTENG TANAH LIAT Kodok	buah	 Rp3,100 
	GENTENG TANAH LIAT Kodok Glasur	buah	 Rp6,200 
	GENTENG TANAH LIAT Plentong super besar 18 bh/m2	buah	 Rp3,800 
	ASBES GELOMBANG BESAR 200 cm X 102 cm X 6 mm	buah	 Rp115,000 
	ASBES GELOMBANG BESAR 250 cm X 102 cm X 6 mm	buah	 Rp113,200 
	ASBES GELOMBANG KECIL 150 cm X 105 cm X 4 mm	buah	 Rp53,900 
	ASBES GELOMBANG KECIL 210 cm X 105 cm X 4 mm	buah	 Rp103,200 
	"	ASBES GELOMBANG KECIL 240 cm X 105 cm X 4 mm"	buah	 Rp109,800 
	"	ASBES GELOMBANG KECIL 270 cm X 105 cm X 4 mm"	buah	 Rp119,700 
	ASBES GELOMBANG KECIL 300 cm X 105 cm X 4 mm	buah	 Rp124,600 
	Seng plat	lembar	 Rp82,200 
	SENG PLAT BJLS 0,28 lebar 55 cm	lembar	 Rp59,600 
	"	SENG GELOMBANG BJLS 0,20 panjang 180 cm"	lembar	 Rp112,400 
	SENG GELOMBANG BJLS 0,30 panjang 180 cm	lembar	 Rp213,000 
	JATI Papan	m3	 Rp24,521,900 
	JATI Balok/pesagen	m3	 Rp22,395,700 
	KAMPER Papan	m3	 Rp11,226,200 
	KAMPER Balok/pesagen	m3	 Rp9,638,700 
	Kruing Papan	m3	 Rp7,370,700 
	Kruing Balok	m3	 Rp7,370,700 
	MERANTI Papan	m3	 Rp5,805,900 
	LANAN Balok/pesagen	m3	 Rp12,113,000 
	Dolken kayu diameter 8 -10 /400 cm	batang	 Rp28,900 
	Bambu diameter 6-8/600 cm	batang	 Rp22,100 
	UBIN (TEGEL BIASA) PC polos 30 X 30 cm	buah	 Rp5,500 
	UBIN (TEGEL BIASA) PC polos 20 X 20 cm	buah	 Rp2,400 
	UBIN (TEGEL BIASA) PC warna 30 X 30 cm	buah	 Rp13,000 
	UBIN (TEGEL BIASA) PC warna 20 X 20 cm	buah	 Rp7,700 
	TEGEL PLINT PC warna 10 X 20 cm	buah	 Rp4,000 
	TEGEL PLINT PC abu-abu 15 x 20	buah	 Rp3,500 
	MOZAIK PORSELIN 10 X 20 cm	buah	 Rp2,000 
	MOZAIK PORSELIN 20 X 20 cm	buah	 Rp2,500 
	"	KERAMIK 20 X 20 cm"	buah	 Rp2,500 
	KERAMIK 33 x 33 cm	m2	 Rp115,700 
	BATU POROS	m2	 Rp164,800 
